('16:01:59', '16:02:21', 21.54695200920105)
('16:02:22', '16:02:22', 0.015538930892944336)
('16:02:22', '16:02:22', 0.015562057495117188)
('16:02:22', '16:02:22', 0.01541900634765625)
('16:02:22', '16:02:22', 0.015434980392456055)
('16:02:22', '16:02:22', 0.015238046646118164)
('16:02:22', '16:02:22', 0.015909910202026367)
('16:02:23', '16:02:23', 0.015460968017578125)
('16:02:23', '16:02:23', 0.015383005142211914)
('16:02:23', '16:02:23', 0.015413045883178711)
('16:02:23', '16:02:23', 0.015945911407470703)
('16:02:23', '16:02:23', 0.01559901237487793)
('16:02:24', '16:02:24', 0.01604008674621582)
('16:02:24', '16:02:24', 0.015380859375)
('16:02:24', '16:02:24', 0.014899015426635742)
('16:02:24', '16:02:24', 0.0158538818359375)
('16:02:24', '16:02:24', 0.015852928161621094)
('16:02:24', '16:02:24', 0.015421152114868164)
('16:02:24', '16:02:24', 0.015647172927856445)
('16:02:24', '16:02:24', 0.01543879508972168)
('16:02:24', '16:02:24', 0.04727602005004883)
('16:02:24', '16:02:24', 0.0)
('16:02:24', '16:02:24', 0.015088081359863281)
('16:02:24', '16:02:24', 0.06244301795959473)
('16:02:24', '16:02:24', 0.014950037002563477)
('16:02:25', '16:02:25', 0.015891075134277344)
('16:02:25', '16:02:25', 0.01538991928100586)
('16:02:25', '16:02:25', 0.015914201736450195)
('16:02:25', '16:02:25', 0.04694509506225586)
('16:02:25', '16:02:25', 0.01549386978149414)
('16:02:25', '16:02:25', 0.04757285118103027)
('16:02:25', '16:02:25', 0.031388044357299805)
('16:02:26', '16:02:26', 0.015482902526855469)
('16:02:26', '16:02:26', 0.01584315299987793)
('16:02:26', '16:02:26', 0.04681801795959473)
('16:02:26', '16:02:26', 0.015440940856933594)
('16:02:26', '16:02:26', 0.024934053421020508)
('16:02:26', '16:02:26', 0.01590895652770996)
('16:02:26', '16:02:26', 0.015876054763793945)
('16:02:26', '16:02:26', 0.015434026718139648)
('16:02:26', '16:02:26', 0.015427827835083008)
('16:02:27', '16:02:27', 0.014927148818969727)
('16:02:27', '16:02:27', 0.015035152435302734)
('16:02:27', '16:02:27', 0.031419992446899414)
('16:02:27', '16:02:27', 0.015870094299316406)
('16:02:27', '16:02:27', 0.015474081039428711)
('16:02:27', '16:02:27', 0.01595306396484375)
('16:02:27', '16:02:27', 0.0309600830078125)
('16:02:27', '16:02:27', 0.015435934066772461)
('16:02:27', '16:02:27', 0.015429019927978516)
('16:02:27', '16:02:27', 0.016192913055419922)
('16:02:28', '16:02:28', 0.013978958129882812)
('16:02:28', '16:02:28', 0.015436887741088867)
('16:02:28', '16:02:28', 0.014953136444091797)
('16:02:28', '16:02:28', 0.015897035598754883)
('16:02:28', '16:02:28', 0.015951871871948242)
('16:02:28', '16:02:28', 0.015932083129882812)
('16:02:28', '16:02:28', 0.015444040298461914)
('16:02:28', '16:02:28', 0.015403985977172852)
('16:02:28', '16:02:28', 0.015429973602294922)
('16:02:28', '16:02:28', 0.031163930892944336)
('16:02:29', '16:02:29', 0.015917062759399414)
('16:02:29', '16:02:29', 0.014939069747924805)
('16:02:29', '16:02:29', 0.0312809944152832)
('16:02:29', '16:02:29', 0.03053903579711914)
('16:02:29', '16:02:29', 0.015399932861328125)
('16:02:29', '16:02:29', 0.031514883041381836)
('16:02:29', '16:02:29', 0.01540994644165039)
('16:02:29', '16:02:29', 0.03189206123352051)
('16:02:30', '16:02:30', 0.016330957412719727)
('16:02:30', '16:02:30', 0.01597309112548828)
('16:02:30', '16:02:30', 0.014966011047363281)
('16:02:30', '16:02:30', 0.03140115737915039)
('16:02:30', '16:02:30', 0.03146505355834961)
('16:02:30', '16:02:30', 0.03131604194641113)
('16:02:30', '16:02:31', 0.015389204025268555)
('16:02:31', '16:02:31', 0.015913963317871094)
('16:02:31', '16:02:31', 0.031507015228271484)
('16:02:31', '16:02:31', 0.03129887580871582)
('16:02:31', '16:02:31', 0.01540684700012207)
('16:02:32', '16:02:32', 0.015421152114868164)
('16:02:32', '16:02:32', 0.015403985977172852)
('16:02:32', '16:02:32', 0.015465021133422852)
('16:02:32', '16:02:32', 0.015455007553100586)
('16:02:32', '16:02:32', 0.014929056167602539)
('16:02:33', '16:02:33', 0.031162023544311523)
('16:02:33', '16:02:33', 0.01491999626159668)
('16:02:33', '16:02:33', 0.014950990676879883)
('16:02:33', '16:02:33', 0.01547098159790039)
('16:02:33', '16:02:33', 0.01595592498779297)
('16:02:34', '16:02:34', 0.015935897827148438)
('16:02:34', '16:02:34', 0.03136110305786133)
('16:02:34', '16:02:34', 0.031022071838378906)
('16:02:34', '16:02:34', 0.01594996452331543)
('16:02:34', '16:02:34', 0.015427112579345703)
('16:02:35', '16:02:35', 0.015450000762939453)
('16:02:35', '16:02:35', 0.01596808433532715)
('16:02:35', '16:02:35', 0.030360937118530273)
('16:02:35', '16:02:35', 0.016273021697998047)
('16:02:35', '16:02:35', 0.015999794006347656)
('16:02:36', '16:02:36', 0.014897823333740234)
('16:02:36', '16:02:36', 0.014916181564331055)
('16:02:36', '16:02:36', 0.015332937240600586)
('16:02:36', '16:02:36', 0.03083205223083496)
('16:02:36', '16:02:37', 0.014923095703125)
('16:02:37', '16:02:37', 0.031358957290649414)
('16:02:37', '16:02:37', 0.04787898063659668)
('16:02:37', '16:02:37', 0.015417098999023438)
('16:02:38', '16:02:38', 0.015964031219482422)
('16:02:38', '16:02:38', 0.01547098159790039)
('16:02:38', '16:02:38', 0.01542806625366211)
('16:02:38', '16:02:38', 0.03164505958557129)
('16:02:38', '16:02:38', 0.014913082122802734)
('16:02:39', '16:02:39', 0.06258296966552734)
('16:02:39', '16:02:39', 0.015278100967407227)
('16:02:39', '16:02:39', 0.016199111938476562)
('16:02:39', '16:02:39', 0.015504121780395508)
('16:02:39', '16:02:39', 0.016407012939453125)
('16:02:40', '16:02:40', 0.01578998565673828)
('16:02:40', '16:02:40', 0.015495061874389648)
('16:02:40', '16:02:40', 0.015383005142211914)
('16:02:40', '16:02:40', 0.015455007553100586)
('16:02:41', '16:02:41', 0.030965089797973633)
('16:02:41', '16:02:41', 0.031401872634887695)
('16:02:41', '16:02:41', 0.014516115188598633)
('16:02:41', '16:02:41', 0.03134584426879883)
('16:02:42', '16:02:42', 0.03137016296386719)
('16:02:42', '16:02:42', 0.01602482795715332)
('16:02:42', '16:02:42', 0.04655909538269043)
('16:02:43', '16:02:43', 0.03108692169189453)
('16:02:44', '16:02:44', 0.015866994857788086)
('16:02:44', '16:02:44', 0.0782620906829834)
('16:02:44', '16:02:44', 0.030430078506469727)
('16:02:44', '16:02:44', 0.0470881462097168)
('16:02:44', '16:02:44', 0.04684901237487793)
('16:02:44', '16:02:44', 0.031703948974609375)
('16:02:45', '16:02:45', 0.03156709671020508)
('16:02:45', '16:02:45', 0.015431880950927734)
('16:02:45', '16:02:45', 0.07831096649169922)
('16:02:45', '16:02:45', 0.031182050704956055)
('16:02:45', '16:02:45', 0.03141212463378906)
('16:02:46', '16:02:46', 0.03128194808959961)
('16:02:46', '16:02:46', 0.015416145324707031)
('16:02:46', '16:02:46', 0.015562057495117188)
('16:02:46', '16:02:46', 0.015460014343261719)
('16:02:46', '16:02:47', 0.03137397766113281)
('16:02:47', '16:02:47', 0.015497922897338867)
('16:02:47', '16:02:47', 0.03135108947753906)
('16:02:47', '16:02:47', 0.03136801719665527)
('16:02:47', '16:02:47', 0.031607866287231445)
('16:02:47', '16:02:47', 0.015925884246826172)
('16:02:47', '16:02:47', 0.014956951141357422)
('16:02:48', '16:02:48', 0.03034806251525879)
('16:02:48', '16:02:48', 0.0312960147857666)
('16:02:48', '16:02:48', 0.015484094619750977)
('16:02:48', '16:02:48', 0.015996217727661133)
('16:02:48', '16:02:48', 0.015017032623291016)
('16:02:49', '16:02:49', 0.07803678512573242)
('16:02:49', '16:02:49', 0.015592098236083984)
('16:02:49', '16:02:49', 0.016444921493530273)
('16:02:50', '16:02:50', 0.04610800743103027)
('16:02:50', '16:02:50', 0.015434026718139648)
('16:02:51', '16:02:51', 0.014983892440795898)
('16:02:51', '16:02:51', 0.04677009582519531)
('16:02:51', '16:02:51', 0.031072139739990234)
('16:02:52', '16:02:52', 0.03195691108703613)
('16:02:52', '16:02:52', 0.03137803077697754)
('16:02:53', '16:02:53', 0.015466928482055664)
('16:02:53', '16:02:53', 0.015408039093017578)
('16:02:53', '16:02:53', 0.015290021896362305)
('16:02:53', '16:02:53', 0.016247987747192383)
('16:02:54', '16:02:54', 0.06295609474182129)
('16:02:54', '16:02:54', 0.015662193298339844)
('16:02:54', '16:02:54', 0.03128409385681152)
('16:02:54', '16:02:54', 0.015166044235229492)
('16:02:54', '16:02:54', 0.031000852584838867)
('16:02:55', '16:02:55', 0.015886783599853516)
('16:02:55', '16:02:55', 0.016065120697021484)
('16:02:55', '16:02:55', 0.015424966812133789)
('16:02:55', '16:02:55', 0.015490055084228516)
('16:02:55', '16:02:55', 0.014880895614624023)
('16:02:55', '16:02:55', 0.015382051467895508)
('16:02:55', '16:02:55', 0.015920162200927734)
('16:02:55', '16:02:55', 0.01541900634765625)
('16:02:55', '16:02:55', 0.015372991561889648)
('16:02:55', '16:02:56', 0.01507711410522461)
('16:02:56', '16:02:56', 0.015663862228393555)
('16:02:56', '16:02:56', 0.09372997283935547)
('16:02:56', '16:02:56', 0.015517950057983398)
('16:02:57', '16:02:57', 0.026364803314208984)
('16:02:57', '16:02:57', 0.014962911605834961)
('16:02:57', '16:02:57', 0.015739917755126953)
('16:02:59', '16:02:59', 0.01556396484375)
('16:02:59', '16:02:59', 0.015516996383666992)
('16:02:59', '16:02:59', 0.015455007553100586)
('16:02:59', '16:02:59', 0.015447854995727539)
('16:02:59', '16:02:59', 0.01608109474182129)
('16:03:00', '16:03:00', 0.015938997268676758)
('16:03:00', '16:03:00', 0.015455007553100586)
('16:03:00', '16:03:00', 0.014945030212402344)
('16:03:00', '16:03:00', 0.01594996452331543)
('16:03:00', '16:03:00', 0.015563011169433594)
('16:03:00', '16:03:01', 0.0312650203704834)
('16:03:01', '16:03:01', 0.014935970306396484)
('16:03:01', '16:03:01', 0.03184795379638672)
('16:03:01', '16:03:01', 0.015386104583740234)
('16:03:01', '16:03:01', 0.015390872955322266)
('16:03:01', '16:03:01', 0.01535487174987793)
('16:03:02', '16:03:02', 0.015372991561889648)
('16:03:02', '16:03:02', 0.047232866287231445)
('16:03:02', '16:03:02', 0.015467166900634766)
('16:03:02', '16:03:02', 0.01536107063293457)
('16:03:02', '16:03:02', 0.014901876449584961)
('16:03:02', '16:03:02', 0.015719175338745117)
('16:03:02', '16:03:02', 0.015156984329223633)
('16:03:03', '16:03:03', 0.0)
('16:03:03', '16:03:03', 0.07845687866210938)
('16:03:03', '16:03:03', 0.03166794776916504)
('16:03:03', '16:03:03', 0.015987157821655273)
('16:03:03', '16:03:03', 0.016010046005249023)
('16:03:03', '16:03:03', 0.015588998794555664)
('16:03:03', '16:03:03', 0.062355995178222656)
('16:03:04', '16:03:04', 0.014998912811279297)
('16:03:04', '16:03:04', 0.015984058380126953)
('16:03:04', '16:03:04', 0.015932083129882812)
('16:03:04', '16:03:04', 0.015579938888549805)
('16:03:04', '16:03:04', 0.0156400203704834)
('16:03:04', '16:03:04', 0.014868974685668945)
('16:03:04', '16:03:05', 0.06293392181396484)
('16:03:05', '16:03:05', 0.015377044677734375)
('16:03:05', '16:03:05', 0.016501903533935547)
('16:03:05', '16:03:05', 0.015439033508300781)
('16:03:05', '16:03:05', 0.014942169189453125)
('16:03:05', '16:03:06', 0.01597905158996582)
('16:03:06', '16:03:06', 0.015504121780395508)
('16:03:06', '16:03:06', 0.04709601402282715)
('16:03:06', '16:03:06', 0.015981197357177734)
('16:03:06', '16:03:06', 0.016058921813964844)
('16:03:06', '16:03:06', 0.015963077545166016)
('16:03:06', '16:03:06', 0.015461206436157227)
('16:03:06', '16:03:06', 0.015342950820922852)
('16:03:07', '16:03:07', 0.09410786628723145)
('16:03:07', '16:03:07', 0.016328096389770508)
('16:03:07', '16:03:07', 0.046788930892944336)
('16:03:07', '16:03:07', 0.015413045883178711)
('16:03:07', '16:03:07', 0.0)
('16:03:07', '16:03:07', 0.015532970428466797)
('16:03:07', '16:03:08', 0.015532970428466797)
('16:03:08', '16:03:08', 0.015919208526611328)
